"","PROVINCE","ADM2_NAME","casestodate","risk_TH_2","risk_TH_6","risk_TH_10","risk_TH_20"
"61","Sud-Kivu","Kalole",0,0.005,0.002,0,0
"62","Sud-Kivu","Kalonge",0,0.021,0.003,0.002,0
"63","Nord-Kivu","Kalunguta",225,0.674,0.455,0.331,0.17
"64","Nord-Kivu","Kamango",0,0.16,0.048,0.025,0.006
"65","Ituri","Kambala",0,0.039,0.007,0.002,0.001
"66","Sud-Kivu","Kamituga",0,0.012,0.003,0,0
"67","Maniema","Kampene",0,0.006,0.001,0,0
"68","Sud-Kivu","Kaniola",0,0.022,0.005,0.002,0
"69","Nord-Kivu","Karisimbi",0,0.159,0.046,0.018,0.005
"70","Maniema","Kasongo",0,0.012,0.002,0,0
"71","Sud-Kivu","Katana",0,0.033,0.007,0.001,0
"72","Nord-Kivu","Katoyi",0,0.004,0,0,0
"73",NA,"Katwa",683,0.851,0.665,0.533,0.316
"74","Nord-Kivu","Kayna",33,0.634,0.422,0.303,0.152
"75","Sud-Kivu","Kaziba",0,0.015,0.002,0.002,0
"76","Nord-Kivu","Kibirizi",0,0.204,0.061,0.023,0.006
"77","Maniema","Kibombo",0,0.004,0.001,0,0
"78","Nord-Kivu","Kibua",0,0.025,0.008,0.004,0
"79","Ituri","Kilo",0,0.026,0.006,0.002,0.001
"80","Sud-Kivu","Kimbi-Lulenge",0,0.01,0.003,0.001,0.001
"81","Maniema","Kindu",0,0.01,0.003,0.001,0
"82","Nord-Kivu","Kirotshe",0,0.125,0.032,0.013,0.002
"83","Sud-Kivu","Kitutu",0,0.01,0.002,0.001,0
"84","Ituri","Komanda",81,0.26,0.096,0.045,0.011
"85","Maniema","Kunda",0,0.01,0.001,0,0
"86","Nord-Kivu","Kyondo",37,0.305,0.115,0.054,0.011
"87","Ituri","Laybo",0,0.018,0.006,0.002,0.001
"88","Sud-Kivu","Lemera",0,0.014,0.003,0.001,0
"89","Bas-Uele","Likati",0,0.003,0.001,0,0
"90","Ituri","Linga",0,0.047,0.011,0.005,0.002
"91","Ituri","Lita",0,0.062,0.016,0.006,0.001
"92","Ituri","Logo",0,0.057,0.016,0.006,0.002
"93","Ituri","Lolwa",6,0.032,0.007,0.003,0.001
"94","Tshopo","Lowa",0,0.009,0.002,0.001,0
"95","Nord-Kivu","Lubero",33,0.411,0.174,0.091,0.028
"96","Tshopo","Lubunga",0,0.014,0.004,0.002,0
"97","Maniema","Lubutu",0,0.022,0.002,0.001,0
"98","Sud-Kivu","Lulingu",0,0.017,0.003,0.001,0
"99","Maniema","Lusangi",0,0.01,0.002,0,0
"100","Nord-Kivu","Mabalako",498,0.453,0.21,0.116,0.038
"101","Ituri","Mahagi",0,0.035,0.008,0.003,0
"102","Tshopo","Makiso-Kisangani",0,0.018,0.003,0.001,0
"103","Haut-Uele","Makoro",0,0.022,0.004,0.001,0
"104","Ituri","Mambasa",88,0.491,0.334,0.232,0.124
"105","Ituri","Mandima",364,0.858,0.704,0.59,0.393
"106","Ituri","Mangala",0,0.032,0.007,0.004,0
"107","Tshopo","Mangobo",0,0.014,0.002,0,0
"108","Nord-Kivu","Manguredjipa",22,0.484,0.331,0.235,0.118
"109","Nord-Kivu","Masereka",63,0.318,0.116,0.056,0.015
"110","Nord-Kivu","Masisi",0,0.107,0.032,0.015,0.002
"111","Sud-Kivu","Minembwe",0,0.006,0.001,0,0
"112","Sud-Kivu","Minova",0,0.05,0.011,0.004,0.001
"113","Sud-Kivu","Miti-Murhesa",0,0.036,0.006,0.002,0
"114","Bas-Uele","Monga",0,0.002,0.001,0,0
"115","Ituri","Mongbalu",0,0.056,0.014,0.005,0.002
"116","Sud-Kivu","Mubumbano",0,0.024,0.005,0.002,0
"117","Sud-Kivu","Mulungu",0,0.016,0.004,0.002,0
"118","Nord-Kivu","Musienene",89,0.357,0.152,0.072,0.018
"119",NA,"Mutwanga",32,0.322,0.126,0.064,0.019
"120","Sud-Kivu","Mwana",0,0.016,0.003,0.001,0
"121","Sud-Kivu","Mwenga",6,0.014,0.004,0.001,0
"122","Nord-Kivu","Mweso",0,0.163,0.048,0.021,0.006
"123","Ituri","Nia-Nia",0,0.056,0.017,0.005,0.001
"124","Haut-Uele","Niangara",0,0.013,0.005,0.002,0.001
"125","Ituri","Nizi",0,0.063,0.013,0.008,0.004
"126","Sud-Kivu","Nundu",0,0.013,0.002,0.001,0
"127","Ituri","Nyakunde",2,0.07,0.017,0.006,0.002
"128","Sud-Kivu","Nyangezi",0,0.013,0.001,0,0
"129","Sud-Kivu","Nyantende",0,0.017,0.003,0.002,0
"130","Ituri","Nyarambe",0,0.04,0.01,0.004,0
"131","Nord-Kivu","Nyiragongo",3,0.17,0.042,0.018,0.004
"132","Maniema","Obokote",0,0.008,0.001,0.001,0
"133","Nord-Kivu","Oicha",73,0.561,0.303,0.189,0.071
"134","Tshopo","Opala",0,0.006,0,0,0
"135","Tshopo","Opienge",0,0.012,0.004,0.001,0
"136","Maniema","Pangi",0,0.008,0.002,0.001,0
"137","Haut-Uele","Pawa",0,0.047,0.012,0.004,0.002
"138","Nord-Kivu","Pinga",1,0.101,0.034,0.012,0.003
"139","Bas-Uele","Poko",0,0.01,0.001,0,0
"140","Maniema","Punia",0,0.013,0.003,0.001,0
"141","Ituri","Rethy",0,0.054,0.009,0.004,0.002
"142","Ituri","Rimba",0,0.048,0.01,0.004,0.001
"143","Haut-Uele","Rungu",0,0.024,0.005,0.003,0
"144","Nord-Kivu","Rutshuru",0,0.111,0.027,0.011,0.002
"145","Sud-Kivu","Ruzizi",0,0.012,0.003,0.002,0
"146","Ituri","Rwampara",8,0.078,0.019,0.008,0.001
"147","Nord-Kivu","Rwanguba",0,0.091,0.019,0.008,0.002
"148","Maniema","Samba",0,0.006,0.001,0,0
"149","Maniema","Saramabila",0,0.006,0,0,0
"150","Sud-Kivu","Shabunda",0,0.014,0.003,0.001,0
"151","Ituri","Tchomia",2,0.047,0.012,0.005,0.002
"152","Bas-Uele","Titule",0,0.008,0.001,0.001,0
"153","Tshopo","Tshopo",0,0.012,0.002,0.002,0.001
"154","Maniema","Tunda",0,0.004,0.001,0,0
"155","Tshopo","Ubundu",0,0.005,0,0,0
"156","Sud-Kivu","Uvira",0,0.026,0.007,0.002,0
"157","Bas-Uele","Viadana",0,0.012,0.002,0.001,0
"158","Nord-Kivu","Vuhovi",122,0.317,0.104,0.046,0.009
"159","Nord-Kivu","Walikale",0,0.032,0.006,0.003,0.001
"160","Sud-Kivu","Walungu",0,0.032,0.005,0.002,0.001
"161","Haut-Uele","Wamba",0,0.05,0.012,0.006,0.002
"162","Tshopo","Wanierukula",0,0.008,0.002,0,0
"163","Haut-Uele","Watsa",0,0.04,0.008,0.003,0.001
"164","Tshopo","Yabaondo",0,0.009,0.001,0,0
"165","Tshopo","Yahisuli",0,0.004,0.001,0.001,0
"166","Tshopo","Yahuma",0,0.006,0.001,0,0
"167","Tshopo","Yakusu",0,0.013,0.004,0.002,0
"168","Tshopo","Yaleko",0,0.011,0.002,0.002,0.001
"169","Tshopo","Yalimbongo",0,0.003,0,0,0
