"","PROVINCE","ADM2_NAME","casestodate","risk_TH_2","risk_TH_6","risk_TH_10","risk_TH_20"
"42","Bas-Uele","Ganga Dingila",0,0.001,0,0,0
"43","Ituri","Gethy",0,0.042,0.007,0.001,0
"44","Nord-Kivu","Goma",1,0.018,0.004,0.001,0
"45","Haut-Uele","Gombari",0,0.004,0,0,0
"46","Sud-Kivu","Hauts-Plateaux",0,0.002,0.001,0,0
"47","Sud-Kivu","Ibanda",0,0.01,0.003,0.001,0.001
"48","Sud-Kivu","Idjwi",0,0.009,0.004,0.001,0
"49","Tshopo","Isangi",0,0,0,0,0
"50","Haut-Uele","Isiro",0,0.005,0,0,0
"51","Nord-Kivu","Itebero",0,0.003,0.001,0,0
"52","Sud-Kivu","Itombwe",0,0,0,0,0
"53","Ituri","Jiba",0,0.008,0.001,0.001,0
"54","Maniema","Kabambare",0,0,0,0,0
"55","Sud-Kivu","Kabare",0,0.003,0.001,0,0
"56","Tshopo","Kabondo",0,0.002,0,0,0
"57","Sud-Kivu","Kadutu",0,0.01,0.002,0.001,0
"58","Maniema","Kailo",0,0.001,0,0,0
"59","Sud-Kivu","Kalehe",0,0.007,0.002,0.001,0
"60","Maniema","Kalima",0,0.001,0,0,0
"61","Sud-Kivu","Kalole",0,0.001,0,0,0
"62","Sud-Kivu","Kalonge",0,0.003,0,0,0
"63","Nord-Kivu","Kalunguta",223,0.996,0.979,0.94,0.796
"64","Nord-Kivu","Kamango",0,0.185,0.038,0.014,0.002
"65","Ituri","Kambala",0,0.006,0.001,0,0
"66","Sud-Kivu","Kamituga",0,0.002,0,0,0
"67","Maniema","Kampene",0,0.001,0.001,0,0
"68","Sud-Kivu","Kaniola",0,0.003,0,0,0
"69","Nord-Kivu","Karisimbi",0,0.034,0.009,0.002,0
"70","Maniema","Kasongo",0,0,0,0,0
"71","Sud-Kivu","Katana",0,0.005,0.002,0,0
"72","Nord-Kivu","Katoyi",0,0.001,0,0,0
"73",NA,"Katwa",680,0.989,0.951,0.887,0.663
"74","Nord-Kivu","Kayna",31,0.148,0.036,0.01,0.002
"75","Sud-Kivu","Kaziba",0,0.001,0,0,0
"76","Nord-Kivu","Kibirizi",0,0.045,0.01,0.004,0.001
"77","Maniema","Kibombo",0,0,0,0,0
"78","Nord-Kivu","Kibua",0,0.003,0.001,0,0
"79","Ituri","Kilo",0,0.006,0.002,0.001,0
"80","Sud-Kivu","Kimbi-Lulenge",0,0.001,0,0,0
"81","Maniema","Kindu",0,0.002,0,0,0
"82","Nord-Kivu","Kirotshe",0,0.024,0.005,0.001,0.001
"83","Sud-Kivu","Kitutu",0,0.001,0,0,0
"84","Ituri","Komanda",81,0.112,0.026,0.01,0.001
"85","Maniema","Kunda",0,0.002,0,0,0
"86","Nord-Kivu","Kyondo",37,0.42,0.151,0.066,0.014
"87","Ituri","Laybo",0,0.001,0,0,0
"88","Sud-Kivu","Lemera",0,0.001,0,0,0
"89","Bas-Uele","Likati",0,0,0,0,0
"90","Ituri","Linga",0,0.007,0.001,0,0
"91","Ituri","Lita",0,0.021,0.004,0.002,0
"92","Ituri","Logo",0,0.011,0.002,0.001,0
"93","Ituri","Lolwa",6,0.006,0.001,0,0
"94","Tshopo","Lowa",0,0,0,0,0
"95","Nord-Kivu","Lubero",33,0.304,0.093,0.036,0.008
"96","Tshopo","Lubunga",0,0.002,0.001,0,0
"97","Maniema","Lubutu",0,0.002,0.001,0,0
"98","Sud-Kivu","Lulingu",0,0.001,0,0,0
"99","Maniema","Lusangi",0,0,0,0,0
"100","Nord-Kivu","Mabalako",482,1,0.996,0.989,0.94
"101","Ituri","Mahagi",0,0.008,0.002,0,0
"102","Tshopo","Makiso-Kisangani",0,0.001,0,0,0
"103","Haut-Uele","Makoro",0,0.002,0.001,0,0
"104","Ituri","Mambasa",83,0.024,0.006,0.002,0
"105","Ituri","Mandima",359,0.394,0.16,0.074,0.019
"106","Ituri","Mangala",0,0.006,0,0,0
"107","Tshopo","Mangobo",0,0.002,0,0,0
"108","Nord-Kivu","Manguredjipa",21,0.049,0.015,0.006,0
"109","Nord-Kivu","Masereka",63,0.319,0.104,0.041,0.007
"110","Nord-Kivu","Masisi",0,0.022,0.005,0.002,0
"111","Sud-Kivu","Minembwe",0,0,0,0,0
"112","Sud-Kivu","Minova",0,0.008,0.002,0.001,0
"113","Sud-Kivu","Miti-Murhesa",0,0.006,0,0,0
"114","Bas-Uele","Monga",0,0,0,0,0
"115","Ituri","Mongbalu",0,0.011,0.004,0.002,0
"116","Sud-Kivu","Mubumbano",0,0.002,0,0,0
"117","Sud-Kivu","Mulungu",0,0,0,0,0
"118","Nord-Kivu","Musienene",88,0.241,0.066,0.028,0.007
"119",NA,"Mutwanga",32,0.453,0.182,0.079,0.018
"120","Sud-Kivu","Mwana",0,0.001,0,0,0
"121","Sud-Kivu","Mwenga",6,0,0,0,0
"122","Nord-Kivu","Mweso",0,0.033,0.006,0.002,0.001
"123","Ituri","Nia-Nia",0,0.008,0.001,0,0
"124","Haut-Uele","Niangara",0,0,0,0,0
"125","Ituri","Nizi",0,0.015,0.003,0,0
"126","Sud-Kivu","Nundu",0,0,0,0,0
"127","Ituri","Nyakunde",2,0.021,0.004,0,0
"128","Sud-Kivu","Nyangezi",0,0.002,0.001,0,0
"129","Sud-Kivu","Nyantende",0,0.001,0,0,0
"130","Ituri","Nyarambe",0,0.006,0.002,0.002,0
"131","Nord-Kivu","Nyiragongo",3,0.03,0.008,0.004,0.001
"132","Maniema","Obokote",0,0.001,0,0,0
"133","Nord-Kivu","Oicha",73,0.687,0.368,0.217,0.06
"134","Tshopo","Opala",0,0,0,0,0
"135","Tshopo","Opienge",0,0.004,0,0,0
"136","Maniema","Pangi",0,0,0,0,0
"137","Haut-Uele","Pawa",0,0.005,0.001,0,0
"138","Nord-Kivu","Pinga",1,0.021,0.005,0.002,0
"139","Bas-Uele","Poko",0,0,0,0,0
"140","Maniema","Punia",0,0.001,0,0,0
"141","Ituri","Rethy",0,0.012,0.003,0.003,0.001
"142","Ituri","Rimba",0,0.008,0.002,0,0
"143","Haut-Uele","Rungu",0,0.001,0,0,0
"144","Nord-Kivu","Rutshuru",0,0.021,0.006,0.001,0
"145","Sud-Kivu","Ruzizi",0,0.002,0,0,0
"146","Ituri","Rwampara",8,0.021,0.004,0.002,0
"147","Nord-Kivu","Rwanguba",0,0.022,0.004,0.001,0
"148","Maniema","Samba",0,0.001,0.001,0,0
"149","Maniema","Saramabila",0,0,0,0,0
"150","Sud-Kivu","Shabunda",0,0.001,0,0,0
"151","Ituri","Tchomia",2,0.012,0.002,0,0
"152","Bas-Uele","Titule",0,0,0,0,0
"153","Tshopo","Tshopo",0,0.002,0,0,0
"154","Maniema","Tunda",0,0,0,0,0
"155","Tshopo","Ubundu",0,0,0,0,0
"156","Sud-Kivu","Uvira",0,0.003,0.001,0,0
"157","Bas-Uele","Viadana",0,0,0,0,0
"158","Nord-Kivu","Vuhovi",122,0.715,0.373,0.22,0.06
"159","Nord-Kivu","Walikale",0,0.006,0.002,0,0
"160","Sud-Kivu","Walungu",0,0.004,0.001,0,0
"161","Haut-Uele","Wamba",0,0.006,0.001,0.001,0
"162","Tshopo","Wanierukula",0,0.001,0,0,0
"163","Haut-Uele","Watsa",0,0.004,0,0,0
"164","Tshopo","Yabaondo",0,0.001,0,0,0
"165","Tshopo","Yahisuli",0,0,0,0,0
"166","Tshopo","Yahuma",0,0,0,0,0
"167","Tshopo","Yakusu",0,0.003,0.001,0,0
"168","Tshopo","Yaleko",0,0.001,0,0,0
"169","Tshopo","Yalimbongo",0,0,0,0,0
