"","PROVINCE","ADM2_NAME","casestodate","risk_TH_2","risk_TH_6","risk_TH_10","risk_TH_20"
"44","Nord-Kivu","Goma",1,0.081,0.02,0.007,0
"45","Haut-Uele","Gombari",0,0.028,0.006,0.002,0
"46","Sud-Kivu","Hauts-Plateaux",0,0.012,0.001,0.001,0
"47","Sud-Kivu","Ibanda",0,0.051,0.011,0.006,0
"48","Sud-Kivu","Idjwi",0,0.036,0.009,0.003,0
"49","Tshopo","Isangi",0,0.007,0.002,0,0
"50","Haut-Uele","Isiro",0,0.04,0.01,0.003,0.001
"51","Nord-Kivu","Itebero",0,0.023,0.006,0.002,0.001
"52","Sud-Kivu","Itombwe",0,0.006,0.001,0.001,0
"53","Ituri","Jiba",0,0.036,0.005,0.001,0
"54","Maniema","Kabambare",0,0.003,0.001,0,0
"55","Sud-Kivu","Kabare",0,0.026,0.006,0.004,0
"56","Tshopo","Kabondo",0,0.011,0.003,0.001,0
"57","Sud-Kivu","Kadutu",0,0.06,0.014,0.005,0.001
"58","Maniema","Kailo",0,0.006,0.004,0.002,0
"59","Sud-Kivu","Kalehe",0,0.027,0.004,0.001,0
"60","Maniema","Kalima",0,0.006,0.001,0,0
"61","Sud-Kivu","Kalole",0,0.007,0,0,0
"62","Sud-Kivu","Kalonge",0,0.016,0.004,0.002,0
"63","Nord-Kivu","Kalunguta",225,0.655,0.442,0.32,0.164
"64","Nord-Kivu","Kamango",0,0.138,0.036,0.014,0.002
"65","Ituri","Kambala",0,0.018,0.006,0.003,0
"66","Sud-Kivu","Kamituga",0,0.012,0.003,0.001,0
"67","Maniema","Kampene",0,0.004,0,0,0
"68","Sud-Kivu","Kaniola",0,0.014,0.003,0.002,0
"69","Nord-Kivu","Karisimbi",0,0.126,0.035,0.016,0.003
"70","Maniema","Kasongo",0,0.008,0,0,0
"71","Sud-Kivu","Katana",0,0.023,0.004,0.001,0
"72","Nord-Kivu","Katoyi",0,0.004,0.002,0,0
"73",NA,"Katwa",683,0.842,0.653,0.507,0.292
"74","Nord-Kivu","Kayna",33,0.643,0.426,0.302,0.153
"75","Sud-Kivu","Kaziba",0,0.011,0.002,0.001,0
"76","Nord-Kivu","Kibirizi",0,0.178,0.054,0.027,0.005
"77","Maniema","Kibombo",0,0.002,0,0,0
"78","Nord-Kivu","Kibua",0,0.023,0.006,0.001,0
"79","Ituri","Kilo",0,0.025,0.005,0.004,0.001
"80","Sud-Kivu","Kimbi-Lulenge",0,0.008,0.002,0.001,0
"81","Maniema","Kindu",0,0.009,0.001,0,0
"82","Nord-Kivu","Kirotshe",0,0.103,0.029,0.015,0.003
"83","Sud-Kivu","Kitutu",0,0.009,0.002,0.001,0
"84","Ituri","Komanda",81,0.243,0.087,0.048,0.012
"85","Maniema","Kunda",0,0.014,0.002,0.001,0
"86","Nord-Kivu","Kyondo",37,0.262,0.088,0.04,0.01
"87","Ituri","Laybo",0,0.014,0.002,0,0
"88","Sud-Kivu","Lemera",0,0.014,0.004,0.002,0
"89","Bas-Uele","Likati",0,0.002,0.001,0,0
"90","Ituri","Linga",0,0.038,0.01,0.002,0.001
"91","Ituri","Lita",0,0.052,0.011,0.004,0.001
"92","Ituri","Logo",0,0.05,0.013,0.006,0.001
"93","Ituri","Lolwa",6,0.028,0.004,0.001,0
"94","Tshopo","Lowa",0,0.009,0.003,0.001,0
"95","Nord-Kivu","Lubero",33,0.381,0.161,0.078,0.024
"96","Tshopo","Lubunga",0,0.009,0.003,0,0
"97","Maniema","Lubutu",0,0.014,0.004,0.001,0
"98","Sud-Kivu","Lulingu",0,0.013,0.003,0.001,0
"99","Maniema","Lusangi",0,0.006,0.002,0.001,0
"100","Nord-Kivu","Mabalako",498,0.417,0.186,0.095,0.032
"101","Ituri","Mahagi",0,0.022,0.006,0.004,0.002
"102","Tshopo","Makiso-Kisangani",0,0.016,0.003,0.002,0
"103","Haut-Uele","Makoro",0,0.018,0.004,0.002,0
"104","Ituri","Mambasa",88,0.525,0.364,0.261,0.141
"105","Ituri","Mandima",364,0.88,0.75,0.627,0.43
"106","Ituri","Mangala",0,0.024,0.004,0.003,0.001
"107","Tshopo","Mangobo",0,0.014,0.003,0.001,0
"108","Nord-Kivu","Manguredjipa",22,0.485,0.341,0.24,0.127
"109","Nord-Kivu","Masereka",63,0.266,0.08,0.041,0.009
"110","Nord-Kivu","Masisi",0,0.106,0.025,0.01,0.003
"111","Sud-Kivu","Minembwe",0,0.005,0.001,0,0
"112","Sud-Kivu","Minova",0,0.047,0.01,0.004,0.002
"113","Sud-Kivu","Miti-Murhesa",0,0.023,0.005,0.003,0
"114","Bas-Uele","Monga",0,0.002,0,0,0
"115","Ituri","Mongbalu",0,0.05,0.013,0.005,0.002
"116","Sud-Kivu","Mubumbano",0,0.013,0.002,0,0
"117","Sud-Kivu","Mulungu",0,0.013,0.002,0.001,0
"118","Nord-Kivu","Musienene",89,0.337,0.139,0.071,0.024
"119",NA,"Mutwanga",32,0.277,0.093,0.046,0.013
"120","Sud-Kivu","Mwana",0,0.009,0.002,0,0
"121","Sud-Kivu","Mwenga",6,0.009,0.002,0.001,0
"122","Nord-Kivu","Mweso",0,0.129,0.032,0.014,0.003
"123","Ituri","Nia-Nia",0,0.045,0.009,0.004,0
"124","Haut-Uele","Niangara",0,0.009,0.002,0.001,0
"125","Ituri","Nizi",0,0.05,0.012,0.004,0.001
"126","Sud-Kivu","Nundu",0,0.01,0.001,0,0
"127","Ituri","Nyakunde",2,0.056,0.012,0.006,0
"128","Sud-Kivu","Nyangezi",0,0.013,0.002,0,0
"129","Sud-Kivu","Nyantende",0,0.013,0.003,0.001,0
"130","Ituri","Nyarambe",0,0.028,0.006,0.004,0.002
"131","Nord-Kivu","Nyiragongo",3,0.146,0.043,0.015,0.005
"132","Maniema","Obokote",0,0.004,0.001,0.001,0
"133","Nord-Kivu","Oicha",73,0.531,0.277,0.162,0.067
"134","Tshopo","Opala",0,0.004,0.002,0.001,0
"135","Tshopo","Opienge",0,0.014,0.004,0.002,0.001
"136","Maniema","Pangi",0,0.005,0,0,0
"137","Haut-Uele","Pawa",0,0.044,0.012,0.005,0.001
"138","Nord-Kivu","Pinga",1,0.096,0.023,0.01,0.003
"139","Bas-Uele","Poko",0,0.014,0.003,0.001,0
"140","Maniema","Punia",0,0.01,0.002,0.001,0
"141","Ituri","Rethy",0,0.044,0.009,0.004,0.001
"142","Ituri","Rimba",0,0.04,0.009,0.004,0.001
"143","Haut-Uele","Rungu",0,0.023,0.007,0.001,0
"144","Nord-Kivu","Rutshuru",0,0.087,0.016,0.009,0.002
"145","Sud-Kivu","Ruzizi",0,0.013,0.003,0.001,0
"146","Ituri","Rwampara",8,0.07,0.018,0.004,0
"147","Nord-Kivu","Rwanguba",0,0.073,0.02,0.009,0.001
"148","Maniema","Samba",0,0.006,0.001,0,0
"149","Maniema","Saramabila",0,0.004,0,0,0
"150","Sud-Kivu","Shabunda",0,0.013,0.004,0.001,0
"151","Ituri","Tchomia",2,0.038,0.009,0.003,0
"152","Bas-Uele","Titule",0,0.004,0.002,0.001,0
"153","Tshopo","Tshopo",0,0.012,0.002,0.002,0
"154","Maniema","Tunda",0,0.002,0,0,0
"155","Tshopo","Ubundu",0,0.005,0,0,0
"156","Sud-Kivu","Uvira",0,0.017,0.004,0.002,0
"157","Bas-Uele","Viadana",0,0.013,0.002,0.001,0
"158","Nord-Kivu","Vuhovi",122,0.285,0.101,0.05,0.014
"159","Nord-Kivu","Walikale",0,0.024,0.005,0.001,0
"160","Sud-Kivu","Walungu",0,0.032,0.005,0.002,0.001
"161","Haut-Uele","Wamba",0,0.054,0.011,0.005,0.001
"162","Tshopo","Wanierukula",0,0.006,0.001,0.001,0
"163","Haut-Uele","Watsa",0,0.036,0.011,0.004,0.001
"164","Tshopo","Yabaondo",0,0.009,0.001,0.001,0
"165","Tshopo","Yahisuli",0,0.004,0.001,0,0
"166","Tshopo","Yahuma",0,0.007,0.002,0.001,0
"167","Tshopo","Yakusu",0,0.007,0.002,0.001,0
"168","Tshopo","Yaleko",0,0.004,0.002,0.001,0
"169","Tshopo","Yalimbongo",0,0.003,0.001,0,0
